labs_os,Labs OS
initializing,Inicjalizowanie
menu_tutorial,Samouczek
menu_upgrades,Ulepszenia
menu_hacking,Hakowanie
menu_coding,Kodowanie
menu_portal,Portal
menu_guide,Poradnik
menu_shop,Sklep
menu_support,Wsparcie
menu_rest,Odpoczynek
menu_stats,Statystyki
menu_attributes,Atrybuty
menu_settings,Ustawienia
menu_server,Serwer
menu_in_progress,W toku
menu_achievements,Osiągnięcia
menu_requests,Żądania
menu_save,Zapisz
menu_completed,Ukończono
menu_basics,Podstawy
menu_nodes,Węzły
menu_resources,Zasoby
menu_perks,Benefity
menu_boosts,Wzmocnienia
menu_services,Serwisy
menu_clear,Wyczyść
menu_watch_ad,Czy chcesz obejrzeć reklamę?
menu_watch_ad_desc,Obejrzyj krótką reklamę i odbierz nagrody
menu_new_schematic,Nowy Schemat
menu_wipe,Wyczyść Dane
menu_wipe_desc,"Czy chcesz wyczyscić cały twój postęp, wraz z osiagnięciami?"
menu_sync_save,Synchronizuj zapis
menu_sync_save_desc,Synchornizuj postęp pomiędzy urządzeniami
menu_sync_save_instructions,"Naciśnij eksportuj, aby otrzymać kod, lub wpisz kod, aby importować"
action_add,Dodaj
action_install,Zainstaluj
action_upgrade,Ulepsz
action_tier_up,Zwiększ Rangę
action_research,Zbadaj
action_add_core,Dodaj Rdzeń
action_add_gpu,Dodaj GPU
action_collect,Zbierz
action_sell,Sprzedaj
action_open,Otwórz
action_enter,Wejdź
action_cancel,Anuluj
action_close,Zamknij
action_claim,Odbierz
action_purchase,Kup
action_watch,Obejrz
action_optimize,Optymalizuj
action_add_threat,Zwiększ zagrożenie
action_reduce_threat,Zmniejsz zagrożenie
action_save,Zapisz
action_confirm,Potwierdź
action_export,Eksportuj
action_import,Importuj
quit,Opuść
setting_fps_limit,Limit Klatek Na Sekundę
setting_ui_scale,Skala Interfejsu
setting_language,Język
setting_colorblind_mode,Tryb Dla Daltonistów
setting_glow,Odblask
setting_mute_sfx,Wycisz Efekty Dźwiękowe
setting_volume_sfx,Głośność Efektów Dźwiękowych
setting_mute_nodes,Wycisz Węzły
setting_volume_nodes,Głośność Węzłów
setting_mute_bgm,Wycisz Muzykę
setting_volume_bgm,Głośność Muzyki
setting_show_completed,Pokaż Ukończone
