labs_os,Labs OS
initializing,Kraunama
menu_tutorial,Pamoka
menu_upgrades,Patobulinimai
menu_hacking,Įsilaužimas
menu_coding,Kodavimas
menu_portal,Portalas
menu_guide,Gidas
menu_shop,Parduotuvė
menu_support,Pagalba
menu_rest,Poilsis
menu_stats,Statistika
menu_attributes,Atributai
menu_settings,Nustatymai
menu_server,Serveris
menu_in_progress,Vyksta
menu_achievements,Pasiekimai
menu_requests,Užklausos
menu_save,Išsaugojimas
menu_completed,Užbaigta
menu_basics,Pagrindai
menu_nodes,Mazgai
menu_resources,Resursai
menu_perks,Privilegijos
menu_boosts,Padidinimai
menu_services,Paslaugos
menu_clear,Išvalyti
menu_watch_ad,Žiūrėti Reklamą?
menu_watch_ad_desc,Žiūrėti trumpą reklamą ir gauti prizų
menu_new_schematic,Nauja Schema
menu_wipe,Ištrinti Duomenis
menu_wipe_desc,"Ar norėtum atsatyti visą savo progresą, įskaitant pasiekimus?"
menu_sync_save,Sinchronizuoti Išsaugojimą
menu_sync_save_desc,Sinchronizuok savo išsaugotą žaidimą per įrenginius
menu_sync_save_instructions,"Spausk Eksportuoti, kad gautum kodą, arba įvesk kodą importavimui"
action_add,Pridėti
action_install,Įdiegti
action_upgrade,Patobulinti
action_tier_up,Lygis Aukštyn
action_research,Tirti
action_add_core,Pridėti Branduolį
action_add_gpu,Pridėti GPU
action_collect,Surinkti
action_sell,Parduoti
action_open,Atidaryti
action_enter,Įeiti
action_cancel,Atšaukti
action_close,Uždaryti
action_claim,Gauti
action_purchase,Pirkti
action_watch,Žiūrėti
action_optimize,Optimizuoti
action_add_threat,Padidinti Grėsmę
action_reduce_threat,Sumažinti Grėsmę
action_save,Išsaugoti
action_confirm,Patvirtinti
action_export,Eksportuoti
action_import,Importuoti
quit,Išeiti
setting_fps_limit,FPS Riba
setting_ui_scale,UI Mastelis
setting_language,Kalba
setting_colorblind_mode,Spalvų Aklumo Režimas
setting_glow,Švytėjimas
setting_mute_sfx,Nutildyti Garso Efektus
setting_volume_sfx,Garso Efektų Garsumas
setting_mute_nodes,Nutildyti Mazgus
setting_volume_nodes,Mazgų Garsumas
setting_mute_bgm,Nutildyti Muziką
setting_volume_bgm,Muzikos Garsumas
setting_show_completed,Parodyti Atliktą
setting_wipe_data,Ištrinti Duomenis
setting_sync_data,Sinchronizuoti Išsaugojimą
loading,Kraunama
active,Aktyvus
queue,Eilė
value,Vertė
size,Dydis
quality,Kokybė
research,Tyrimas
cost,Kaina
reward,Apdovanojimas
claimed,Gauta
owned,Turima
support_level,Paramos Lygis
schematic_name,Schemos pavadinimas
sending,Siunčiama
connecting,Prisijungiama
exported,Eksportuota
code_invalid,Neteisingas kodas
code_expired,Kodas baigėsi galioti
error,Klaida
no_schematics_saved,Tu dar neturi jokios schemos
nodes_required,# Mazgai
threat,Grėsmė
level,Lygis
lv.,Lv.
storage_size,Vietos Dydis
storage_value,Vietos Vertė
server_stats,Serverio Statistika
tokens_mined,Iškasti Žetonai
free,Nemokama
points,Taškai
hack_points,Įsilaužimo Taškai
bug,Klaida
empty,Tuščia
input_currency,Įvesties Valiuta
input_file,Įvesties Failas
insert_coin,Įvesties Moneta
input_element,Įvesties Elementas
input_damage,Įvesties Žala
input_variable,Įvesties Kintamasis
input_array,Įvesties Masyvas
input_code,Įvesties Kodas
invalid_request,Neteisinga Užklausa
invalid_request_desc,Įdėk užklaustą failą
invalid_project,Neteisingas Projektas
invalid_project_desc,Įdėk tinkamą kodą
optimization_points,Optimizacijos Taškai
application_points,Aplikacijos Taškai
driver,Draiveris
hardware_multiplier,Aparatūros Daugiklis
max,Maks.
mk.,Mk.
version,Versija
ver.,Ver.
progress,Progresas
ratio,Santykis
burn_rate,Degimo Greitis
speed,Greitis
sell at,Parduoti už
rest_time,Ilsėjimo Laikas
rest_time_desc,Padidina laiko greitį 5 kart. Gaunama 1 sekundė už kiekvienas 72 sekundes neprisijungus
time,Laikas
seconds,Sekundės
second_abbreviation,s
consumption,Vartojimas
multiplier,Daugiklis
breach_speed,Pažeidimo Greitis
breached,Pažeista
firewall,Ugniasienė
time_left,Laiko Liko
vulnerable,Pažeidžiamas
critical,Kritinis
completed,Užbaigta
ready,Paruošta
new_achievement,Naujas Pasiekimas
request_completed,Užklausa Baigta
new_windows_processor,Pasiekiami nauji CPU mazgai
new_windows_network,Pasiekiami nauji tinklo mazgai
new_windows_gpu,Pasiekiami nauji GPU mazgai
new_windows_research,Pasiekiami nauji tyrimo mazgai
new_windows_hacking,Pasiekiami nauji įsilaužimo mazgai
new_windows_coding,Pasiekiami nauji kodavimo mazgai
new_windows_utilities,Pasiekiami nauji pagalbiniai mazgai
new_upgrades_available,Pasiekiami nauji patobulinimai
new_hack_level,Naujas įsilaužimo lygis
new_code_level,Naujas prisidėjimo lygis
new_application_point,Naujas aplikacijos taškas
new_optimization_point,Naujas optimizacijos taškas
breach_bank_failed,Nepavyko banko įsilaužimas
breach_bank_success,Įveiktas banko įsilaužimas
tool_cursor,Kursoriaus Įrankis
tool_move,Perkelimo Įrankis
tool_selection,Pasirinkimo Įrankis
tool_connection_editor_on,Ryšio Redaguotojas Įjungtas
tool_connection_editor_off,Ryšio Redaguotojas Išjungtas
schematic_saved,Schema išsaugota
hold_to_skip,"Laikyk, kad praleisti"
support_us,Palaikyk mus pirkdamas daiktus ir gauk ženklelius!
thank_you,Ačiū!
tokens_claimed,Gauti Premium žetonai
